ldr_dc,ldr_db,ldr_ec,ldr_eb,az,el
1221,156,249,600,0,150
1215,151,255,581,0,150
1213,140,271,554,0,150
1212,135,283,539,0,150
1209,100,298,525,0,150
1209,111,309,503,0,150
1205,103,309,485,0,150
1205,95,319,469,0,150
1199,89,330,453,0,150
1195,83,331,436,0,150
1195,76,339,421,0,150
1193,69,341,409,0,150
1191,72,340,410,0,150
1189,71,333,403,0,150
1183,61,339,405,0,150
1187,62,335,407,0,150
1183,51,332,404,0,150
1181,59,333,407,0,150
1180,62,329,407,0,150
1177,63,327,409,0,150
1175,58,319,407,0,150
1167,61,318,406,0,150
1173,57,325,409,0,150
1167,59,319,419,0,150
1166,59,315,419,0,150
1164,67,315,426,0,150
1163,59,309,426,0,150
1161,67,311,413,0,150
1161,63,303,430,0,150
1157,63,303,440,0,150
1149,67,301,431,0,150
1145,61,309,436,0,150
1147,67,308,429,0,150
1143,69,303,440,0,150
1143,69,303,413,0,150
1139,69,301,427,0,150
1139,68,301,443,0,150
1135,69,299,447,0,150
1135,61,297,453,0,150
1131,60,297,456,0,150
1129,68,297,455,0,150
1125,69,297,459,0,150
1124,67,295,447,0,150
1119,68,295,459,0,150
1117,69,293,451,0,150
1115,63,297,445,0,150
1113,67,295,447,0,150
1110,69,299,445,0,150
1109,67,299,459,0,150
1101,71,294,469,0,150
1101,57,297,469,0,150
1098,73,282,470,0,150
1095,77,287,467,0,150
1087,71,293,460,0,150
1083,71,295,461,0,150
1081,69,301,456,0,150
1081,63,313,448,0,150
1075,63,311,452,0,150
1075,77,301,441,0,150
1069,79,329,443,0,150
1067,91,326,437,0,150
1063,111,328,431,0,150
1061,125,329,419,0,150
1055,152,315,405,0,150
1052,167,309,383,0,150
1048,191,295,365,0,150
1047,219,287,335,0,150
1042,246,267,307,0,150
1035,275,249,278,0,150
1021,301,229,239,0,150
1019,335,214,217,0,150
1015,363,189,189,0,150
1011,403,174,165,0,150
1003,429,152,141,0,150
1001,457,148,126,0,150
995,479,127,117,0,150
989,507,119,109,0,150
984,533,107,92,0,150
982,557,97,86,0,150
973,585,88,77,0,150
970,615,83,73,0,150
963,645,69,63,0,150
955,691,60,59,0,150
948,745,55,53,0,150
943,798,51,51,0,150
936,859,41,47,0,150
931,911,28,45,0,150
923,951,26,42,0,150
919,999,20,38,0,150
909,1048,13,30,0,149
907,1093,11,25,0,148
895,1128,8,21,0,147
891,1157,10,22,0,146
885,1187,9,18,0,145
879,1177,6,13,0,144
873,1176,5,18,0,143
869,1183,4,19,0,142
859,1195,2,20,0,141
856,1192,0,18,0,140
850,1192,3,23,0,139
844,1222,0,26,0,138
837,1195,5,21,0,137
828,1189,4,4,0,136
823,1169,5,24,0,135
819,1161,2,19,0,134
810,1144,2,22,0,133
805,1141,5,27,0,132
793,1119,7,30,0,131
791,1107,4,27,0,130
783,1094,5,35,0,129
779,1066,4,39,0,128
772,1052,7,41,0,127
765,1023,11,43,0,126
758,1001,14,47,0,125
755,979,13,52,0,124
746,971,18,56,0,123
744,957,13,53,0,122
738,951,10,52,0,121
732,937,17,48,0,120
725,924,11,52,0,119
722,916,18,53,0,118
715,904,18,53,0,117
711,901,11,57,0,116
699,887,18,54,0,115
699,887,19,59,0,114
688,875,16,56,0,113
687,867,19,55,0,112
679,855,18,61,0,111
676,841,23,68,0,110
665,826,23,72,0,109
666,815,21,78,0,108
659,789,21,78,0,107
654,763,21,89,0,106
647,741,20,89,0,105
646,717,26,101,0,104
633,703,22,103,0,103
633,685,26,103,0,102
627,683,29,111,0,101
621,668,27,109,0,100
614,651,30,119,0,99
611,637,28,123,0,98
604,615,37,126,0,98
601,593,33,146,0,97
595,559,43,155,0,97
591,543,37,171,0,97
587,533,42,183,0,97
586,521,46,191,0,97
579,501,46,199,0,97
581,488,45,205,0,97
571,479,53,218,0,97
568,473,56,233,0,97
565,459,57,249,0,97
564,455,59,265,0,97
559,447,69,278,0,97
559,447,61,287,0,96
555,445,67,301,0,95
556,437,70,317,0,94
553,423,71,317,0,93
553,401,83,312,0,93
551,403,83,312,0,93
550,407,76,317,0,93
543,411,76,327,0,92
547,397,81,328,0,92
543,413,81,326,0,91
543,421,84,326,0,90
541,415,79,331,0,89
543,423,88,335,0,88
541,406,93,345,0,87
543,395,91,339,0,87
543,383,92,343,0,87
543,391,102,362,0,86
547,383,100,381,0,85
547,374,108,409,0,84
547,370,117,425,0,83
549,360,115,430,0,82
549,358,111,443,0,81
551,347,127,469,0,80
550,333,135,472,0,79
553,329,137,485,0,78
551,326,141,491,0,77
555,315,151,492,0,77
553,313,155,491,0,77
555,309,157,491,0,77
555,311,155,490,0,77
559,313,152,509,0,76
557,312,157,505,0,75
558,329,151,504,0,74
556,331,137,494,0,73
559,328,141,491,0,72
559,333,141,488,0,71
559,333,142,489,0,70
547,333,140,490,0,69
562,331,141,491,0,68
564,331,147,502,0,67
566,329,154,517,0,66
565,333,151,522,0,65
566,343,155,520,0,64
565,337,152,523,0,63
567,331,158,521,0,62
565,327,165,541,0,61
569,325,167,533,0,60
567,325,164,557,0,59
571,315,158,575,0,58
569,314,149,585,0,57
571,310,147,587,0,56
573,307,139,595,0,55
573,301,136,587,0,54
571,308,122,595,0,53
573,325,139,564,0,52
573,341,109,537,0,51
574,351,104,519,0,50
571,365,101,493,0,50
571,361,109,503,0,50
